Metric,Baseline,Tuned,Delta
Test Accuracy,0.9062,0.9055882352941177,-0.0006117647058823117
Test F1 Macro,0.9056,0.9049355766508397,-0.0006644233491602813
Test Precision Macro,,0.9063900992137599,
Test Recall Macro,,0.9055882352941176,
CV F1 Mean,,0.8970834786096799,
CV F1 Std,,0.002955496168729129,
