Model,XPQRS Accuracy,PQ Accuracy,XPQRS F1,PQ F1,XPQRS Precision,PQ Precision,XPQRS Recall,PQ Recall
Random Forest,0.9061764705882352,0.98125,0.9055687992877547,0.981554117249105,0.9067305789934672,0.9833333333333333,0.9061764705882352,0.9815828402366864
Random Forest (Tuned),0.9055882352941177,,0.9049355766508397,,0.9063900992137599,,0.9055882352941176,
Decision Tree,0.865,0.9625,0.8646312381816903,0.9620099577049456,0.8650312659915552,0.9659340659340659,0.865,0.9616796664873589
Logistic Regression,0.8523529411764705,0.9375,0.8488972371675197,0.9371962024903202,0.8502114775312313,0.9464074387151311,0.8523529411764706,0.9366124260355029
SVM,0.8335294117647059,0.88125,0.8298133404249406,0.8797836531439771,0.8338683675944861,0.8990155461220002,0.8335294117647059,0.8797538999462076
KNN,0.8005882352941176,0.90625,0.7954682337885941,0.9046012280794891,0.8055648839833868,0.9144167236272499,0.8005882352941176,0.9084252286175363
