mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,param_clf__min_samples_split,param_clf__min_samples_leaf,param_clf__max_features,param_clf__max_depth,param_clf__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20.230889654159547,0.7664745608247236,0.6726857662200928,0.05092631630774491,200,2,1,log2,,,"{'clf__n_estimators': 200, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2', 'clf__max_depth': None, 'clf__class_weight': None}",0.9016450151928623,0.8925336183010976,0.8982793690792289,0.896421900542382,0.896537489932828,0.8970834786096799,0.002955496168729129,1
41.71716418266296,0.9380369303015305,1.0158106803894043,0.1651601238281285,400,2,1,log2,,,"{'clf__n_estimators': 400, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2', 'clf__max_depth': None, 'clf__class_weight': None}",0.9035140028691426,0.8925746697938979,0.8968480416999287,0.8932808091017721,0.8963672570513299,0.8965169561032142,0.003875692446070559,2
36.110033893585204,1.2138179974546448,0.8552938938140869,0.0859710663843745,300,2,1,sqrt,,,"{'clf__n_estimators': 300, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__max_depth': None, 'clf__class_weight': None}",0.9020084143998489,0.8885376206833927,0.9000203407730627,0.8941749183327242,0.89750685015216,0.8964496288682376,0.004744301391655418,3
12.51958532333374,0.3826558695943319,0.3863239765167236,0.030171296271111,100,5,2,sqrt,30,balanced,"{'clf__n_estimators': 100, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': 30, 'clf__class_weight': 'balanced'}",0.8986078594566236,0.8894059614921282,0.8923931453582274,0.8919286589573352,0.8933128445274038,0.8931296939583436,0.003029686906312888,4
43.28333721160889,0.6540661634196857,1.0482895851135254,0.18037544374581477,400,10,1,sqrt,30,balanced,"{'clf__n_estimators': 400, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__max_depth': 30, 'clf__class_weight': 'balanced'}",0.900071160819539,0.8876983963067725,0.8920325081847748,0.8917864883050202,0.892121076473381,0.8927419260178976,0.004023840547702167,5
19.0717134475708,0.3064945614067921,0.5618484020233154,0.09533539208908168,200,5,1,log2,20,balanced,"{'clf__n_estimators': 200, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2', 'clf__max_depth': 20, 'clf__class_weight': 'balanced'}",0.8943753340439905,0.8847367458897556,0.8924573365087645,0.8913699884107579,0.8930552026156743,0.8911989214937884,0.0033736615737179902,6
63.93054165840149,3.2431201085169246,0.19823951721191407,0.050798624561146,100,2,1,,30,balanced,"{'clf__n_estimators': 100, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 1, 'clf__max_features': None, 'clf__max_depth': 30, 'clf__class_weight': 'balanced'}",0.896463415766754,0.8878601258548339,0.8835260564559058,0.8925328774737084,0.8928915458320603,0.8906548042766526,0.004492202402726471,7
17.85868911743164,1.5719049575121529,0.6789241790771484,0.20143386156336662,200,5,2,log2,20,balanced,"{'clf__n_estimators': 200, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__max_depth': 20, 'clf__class_weight': 'balanced'}",0.8961995978313652,0.883211197014597,0.8913831815718786,0.891257128441392,0.8894797994455381,0.8903061808609543,0.004190901989858843,8
34.88622937202454,0.696714479044866,0.89891357421875,0.07679791299673333,300,10,2,sqrt,,,"{'clf__n_estimators': 300, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': None, 'clf__class_weight': None}",0.8931200382859121,0.8838429359914617,0.8895818903140174,0.8902946616164722,0.8911147648878046,0.8895908582191335,0.0031084218844731892,9
35.80025835037232,2.4727315589140795,0.8285183906555176,0.3029688592464349,300,10,2,sqrt,,balanced,"{'clf__n_estimators': 300, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': None, 'clf__class_weight': 'balanced'}",0.8931200382859121,0.8838429359914617,0.8895818903140174,0.8902946616164722,0.8911147648878046,0.8895908582191335,0.0031084218844731892,9
242.5150891304016,3.0951861251483126,0.9079125404357911,0.15827210812790593,400,2,2,,,,"{'clf__n_estimators': 400, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': None, 'clf__max_depth': None, 'clf__class_weight': None}",0.895316548948711,0.8849528208909576,0.8847649602145894,0.8906549735550042,0.8909216174104968,0.8893221842039518,0.004003162474340753,11
121.79374794960022,5.584131265091591,0.6641339302062989,0.11989080712479906,200,2,2,,20,balanced,"{'clf__n_estimators': 200, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': None, 'clf__max_depth': 20, 'clf__class_weight': 'balanced'}",0.893827541683166,0.8828653246882568,0.8853882462231214,0.8888843766415258,0.89059597920231,0.888312293687676,0.003851752425667907,12
21.973933458328247,0.9989048840774774,0.5905377864837646,0.03845551683434222,200,5,4,sqrt,20,,"{'clf__n_estimators': 200, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__max_depth': 20, 'clf__class_weight': None}",0.8963230274060471,0.8781418418144994,0.8856013848956658,0.8910281175367674,0.8873375391832029,0.8876863821672364,0.0060220593131591945,13
28.280506324768066,0.3299398028442735,0.857073974609375,0.07335434817079485,300,2,4,log2,,balanced,"{'clf__n_estimators': 300, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__max_depth': None, 'clf__class_weight': 'balanced'}",0.8972358877758162,0.8810645458878049,0.8857638746153478,0.8848394837359733,0.8856166525525611,0.8869040889135007,0.005441810471682211,14
241.9517002105713,1.8953442630998394,1.0875159740447997,0.15113481554815333,400,5,2,,20,balanced,"{'clf__n_estimators': 400, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': None, 'clf__max_depth': 20, 'clf__class_weight': 'balanced'}",0.8927359307346021,0.8830213921287672,0.8806070876398688,0.8877736154842716,0.8895232091476714,0.8867322470270362,0.00438648281604406,15
168.86192350387574,5.2240319208385,0.6120336532592774,0.10265553072484102,300,5,2,,20,,"{'clf__n_estimators': 300, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': None, 'clf__max_depth': 20, 'clf__class_weight': None}",0.8934609780349207,0.8814720523472853,0.88072132426532,0.8881630554841352,0.8895878130172793,0.8866810446297879,0.004883953788290458,16
17.381693601608276,0.7333483231828014,0.6017030715942383,0.1146697358890585,200,10,4,log2,,,"{'clf__n_estimators': 200, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__max_depth': None, 'clf__class_weight': None}",0.8947989838060203,0.878808224790964,0.8838731461226678,0.8890129644671174,0.8856529205951427,0.8864292479563824,0.005328121696142674,17
34.16323609352112,1.0080210305311517,0.9521294116973877,0.03798039704661343,300,10,4,sqrt,30,balanced,"{'clf__n_estimators': 300, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__max_depth': 30, 'clf__class_weight': 'balanced'}",0.8949772614314385,0.8780518926071901,0.8836246374343671,0.8893122629884107,0.8859609569694853,0.8863854022861783,0.005650414446851009,18
33.121786546707156,0.883540181015944,0.743462324142456,0.1261532519290707,300,10,4,sqrt,30,,"{'clf__n_estimators': 300, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__max_depth': 30, 'clf__class_weight': None}",0.8949772614314385,0.8780518926071901,0.8836246374343671,0.8893122629884107,0.8859609569694853,0.8863854022861783,0.005650414446851009,18
254.45962944030762,4.568320519104211,0.9681836128234863,0.09760087912907188,400,10,1,,30,,"{'clf__n_estimators': 400, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 1, 'clf__max_features': None, 'clf__max_depth': 30, 'clf__class_weight': None}",0.8901950937896109,0.8835315291473275,0.8792225586628474,0.890469299837451,0.8879251609347522,0.8862687284743977,0.004311512078833737,20
